script,key,source,fingerprint,output,status,updated_at,extra
idees_v2,Avenant Modificatif de Prix Electronique__start_0,blocs\Avenant Modificatif de Prix Electronique.csv,dc728b877e90cbf7287e6f55e513f829699db84e,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Utiliser la voie électronique pour simplifier, accélérer et fiabiliser les avenants de prix.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_34,blocs\Avenant Modificatif de Prix Electronique.csv,170afafd2d5e0d98abe26e4525d2e6bffc95252f,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Réaliser des modifications de prix rapidement et sans erreurs grâce à la signature électronique.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_68,blocs\Avenant Modificatif de Prix Electronique.csv,af83e40fd397e8648310465d0868a306306f9b37,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Valider les baisses de prix à distance en quelques minutes.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_99,blocs\Avenant Modificatif de Prix Electronique.csv,7da97714f5875bf079d1c36be47ea1a0645ce574,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Accéder à la fonction de modification de prix via l'interface utilisateur habituelle.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_132,blocs\Avenant Modificatif de Prix Electronique.csv,1bdca88b3958af889ce900d3cdd9410c3d70086b,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Préparer les utilisateurs pour le nouveau système avant son déploiement le 1er novembre 2025.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_167,blocs\Avenant Modificatif de Prix Electronique.csv,e7b069f346446992a944d123f1a558d25bc0d72c,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Confirmer automatiquement la fabrication, l'envoi et la signature des avenants sans intervention manuelle.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_205,blocs\Avenant Modificatif de Prix Electronique.csv,7c496fde27cee1de2e98727dda8ae16e5295cee2,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Suivre la progression des signatures directement depuis l'interface utilisateur.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_240,blocs\Avenant Modificatif de Prix Electronique.csv,0a6297cf3660428602142a566a990e701e523537,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Envoyer les documents de signature directement au client sans nécessité de déplacement.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_274,blocs\Avenant Modificatif de Prix Electronique.csv,6fb63b6899966568acea087d13ad167e581d4bc5,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Informer les clients de vérifier leurs spams pour les notifications de signature électronique.""}"
idees_v2,Avenant Modificatif de Prix Electronique__start_305,blocs\Avenant Modificatif de Prix Electronique.csv,1f7273ab8a932e23b9e1114f4556d9692ee1bb21,idees_v2.csv,done,2025-11-13T09:18:43,"{""idee"": ""Diriger les clients vers les dossiers appropriés pour retrouver les emails de signature électronique.""}"
